Tweet,Message,Match,Polarity
0, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
1, RT    I can t marry a man who is not education person cos I m a graduation of university,NONE,neutral
2, RT   hawkins  This is an absurd attack on a leading climate scientist     by   at,"absurd,attack",negative
3, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
4, RT    I can t marry a man who is not education person cos I m a graduation of university,NONE,neutral
5, Albertan         Bullshit  Even when Notley raises the education bud,bullshit,negative
6, RT    The University of Utah got a  300K grant to address stalking and dating violence after 4 women there have been killed i,killed,negative
7, RT    I can t marry a man who is not education person cos I m a graduation of university,NONE,neutral
8, RT    I can t marry a man who is not education person cos I m a graduation of university,NONE,neutral
9, RT    Many don t understand or care about the impact of increasing class sizes  It has a huge impact on the quality of educati,NONE,neutral
10, RT    EDUCAUSE Horizon Report   2019 Higher Education Edition         education  emergingtechnologies,NONE,neutral
11, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
12, RT   hindu  Naveen Patnaik said improving the quality of education at all levels of the education system is a top priority of his govern,"improving,top",positive
13, RT    4 female   students or staff have been murdered from relationship violence in the last 3 years  including my Lauren,NONE,neutral
14, RT   hamadullah   SindhGovt  Sindh University Campus    Sindh University Larkana Campus  has been established in larkana to provide qua,NONE,neutral
15, RT   hamadullah   SindhGovt  Sindh University Campus    Sindh University Larkana Campus  has been established in larkana to provide qua,NONE,neutral
16, RT    EDUCAUSE Horizon Report   2019 Higher Education Edition         education  emergingtechnologies,NONE,neutral
17, RT    This is insane  Emily is an incredibly well respected scientist  amp  leader   Carbon capture  is not geoengineering  it is a crit,"incredibly,well",positive
18, RT    Older people  don t obsess over Brexit  think of the  NHS    your grandchildren s education and university fees  and their abi,obsess,negative
19, NEO The NEO project is doing its bit to bring education about blockchain technology to the public  as the company,NONE,neutral
20, Older people  don t obsess over Brexit  think of the  NHS    your grandchildren s education and university fees  an,obsess,negative
21, SindhGovt  Sindh University Campus    Sindh University Larkana Campus  has been established in larkana to provide,NONE,neutral
22, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
23, RT    Many don t understand or care about the impact of increasing class sizes  It has a huge impact on the quality of educati,NONE,neutral
24, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
25, I frequently see tweets claiming men do not care about a woman s education level  and thus women should not expect,NONE,neutral
26, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
27, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
28, EDUCAUSE Horizon Report   2019 Higher Education Edition         education,NONE,neutral
29, I did not say that  Muscovites were coddled into the education system  It was known amon,NONE,neutral
30, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
31, RT        by some strange twist of fate  Don Graves became a professor of education at the University of New Hampshire where Do,"strange,twist",negative
32, RT    I can t marry a man who is not education person cos I m a graduation of university,NONE,neutral
33, RT    I can t marry a man who is not education person cos I m a graduation of university,NONE,neutral
34, mike   You re not wrong  Believe me  I know a lot of government agencies are corrupt  Ever try,"wrong,corrupt",negative
35, RT    WATCH  College leftists harass conservative students   This is the direct result of far left political indoctrination,"harass,conservative,indoctrination",negative
36, We re hiring  Read about our latest job opening here  Associate Chief Diversity Officer      Education  Spokane  WA,NONE,neutral
37, RT    Asking a favor of my followers  Please RT this  I want to get the message out to all student athletes that Judson Univ,favor,positive
38, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
39, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
40, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
41, The University of Utah got a  300K grant to address stalking and dating violence after 4 women there have been kill,kill,negative
42, RT    Not good enough  There should be ZERO mandatory online courses  There are so many problems with forced e learning  Some st,"good,enough",positive
43, RT    Save the Date   NAISA Indigenous Graduate Student Pre Conference Gathering    Wednesday  May 6  2020 University of Toronto,NONE,neutral
44, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
45, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
46, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
47, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
48, Free Education University   How to find scholarships and grants specifically tailored to your personality type  hob,free,positive
49, Anybody that wants to blame Kenney for cuts to education  Give this a read without your bias  The CBE is going to b,"blame,bias",negative
50, More   better  Canada an education superpower  Educa,better,positive
51, goodall     As they should do  Me and my generation benefitted from a,NONE,neutral
52, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
53, Filler Uses in Cosmetic Dentistry  University of Genoa   learning  education  training  teaching  coach  knowledge,NONE,neutral
54, RT    Vietnam Education Initiative Update   November 2019     Vietnam  education  charity  nonprofit  Ca,NONE,neutral
55, This job might be a great fit for you  Strength  amp  Conditioning Assistant  Part Time       Education  Providence  RI,"great,providence",positive
56, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
57, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
58, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
59, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
60, Are a College and a University Two Different Things     college  university  collegetalk,NONE,neutral
61, International education week is coming to an end and we want to remind you that the time for you to explore the wor,NONE,neutral
62, RT    After attending university for many months  it s only on this day that the girl with the blonde hair received an education  htt,NONE,neutral
63, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
64, RT    This is insane  Emily is an incredibly well respected scientist  amp  leader   Carbon capture  is not geoengineering  it is a crit,"incredibly,well",positive
65, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
66, So welcome a decision  Congratulations,"welcome,congratulations",positive
67, Geoengineering is a fantasy technology that at best legitimises the ongoing  ecocide and  genocide perpetuated by,NONE,neutral
68, RT    This is insane  Emily is an incredibly well respected scientist  amp  leader   Carbon capture  is not geoengineering  it is a crit,"incredibly,well",positive
69, RT    After attending university for many months  it s only on this day that the girl with the blonde hair received an education  htt,NONE,neutral
70, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
71, RT    Students accuse Cambridge university of  greenwashing  ties with oil firms,accuse,negative
72, RT   Palmater   reconciliation w Indig ppls includes self education  Check out   on  warriorlifepodcast who gives us update on C,reconciliation,positive
73, Skelton  who was the featured speaker at the inaugural event in 2018  will be master of ceremonies for the 2019 gal,master,positive
74, RT    We are so happy to welcome Dawn Montecalvo from the   in Immokalee Florida as our guest speaker for our Dean s,"happy,welcome,dawn",positive
75, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
76, RT    This is insane  Emily is an incredibly well respected scientist  amp  leader   Carbon capture  is not geoengineering  it is a crit,"incredibly,well",positive
77, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
78, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
79, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
80, Engineering does not teach that well  I kind of agree with your statement about much university educat,well,positive
81, RT     HappeningNow    I am currently at the University of Technology  Jamaica making a donation to the University on behalf,NONE,neutral
82, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
83, RT    WATCH  College leftists harass conservative students   This is the direct result of far left political indoctrination,"harass,conservative,indoctrination",negative
84, RT    After attending university for many months  it s only on this day that the girl with the blonde hair received an education  htt,NONE,neutral
85, RT    Asking a favor of my followers  Please RT this  I want to get the message out to all student athletes that Judson Univ,favor,positive
86, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
87, RT     Students accuse Cambridge university of  greenwashing  ties with oil firms      GreenWash,accuse,negative
88, RT   Palmater   reconciliation w Indig ppls includes self education  Check out   on  warriorlifepodcast who gives us update on C,reconciliation,positive
89, RT    ASU is the superior Arizona University   1 in innovation and a quality education AND a great community  GCU  Eat shit and r,"superior,innovation,great",positive
90, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
91, SOCIAL RESEARCH METHODS 2 0  E LEARNING DESIGN  Maria Catone  Paolo Diana    educacion,NONE,neutral
92, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
93, RT    4 female   students or staff have been murdered from relationship violence in the last 3 years  including my Lauren,NONE,neutral
94, RT   portland  Learn the concepts  strategies  and practices needed to become a more resilient teacher  Get an education that makes you a,resilient,positive
95, RT     I wasn t ready to leave the university and my teammates without finishing business  The reason I came to college was,ready,positive
